period,location,sector,sectorDescription,price,consumption,stocks,price-units,consumption-units,stocks-units
2005-Q2,TX,98,Electric Power,,24217361,7792374,dollars per short ton,short tons,short tons
2005-Q2,UT,98,Electric Power,,4109573.95,2507452,dollars per short ton,short tons,short tons
2005-Q2,VA,98,Electric Power,57.77,3171452.54,1801026,dollars per short ton,short tons,short tons
2005-Q2,WA,98,Electric Power,,1372883,503466,dollars per short ton,short tons,short tons
2005-Q2,WI,98,Electric Power,,6048508.25,3552226,dollars per short ton,short tons,short tons
2005-Q2,WV,98,Electric Power,36.09,8537884.16,4769365,dollars per short ton,short tons,short tons
2005-Q2,WY,98,Electric Power,16.82,5727341.53,1648315,dollars per short ton,short tons,short tons
2005-Q3,AK,1,Electric Utility,,53706,0,dollars per short ton,short tons,short tons
2005-Q3,AL,1,Electric Utility,40.74,10086868.06,2645721,dollars per short ton,short tons,short tons
2005-Q3,AR,1,Electric Utility,33.79,3652972,947724,dollars per short ton,short tons,short tons
2005-Q3,AZ,1,Electric Utility,28.34,5495601,2529854,dollars per short ton,short tons,short tons
2005-Q3,CO,1,Electric Utility,21.28,4809005.39,1667558,dollars per short ton,short tons,short tons
2005-Q3,FL,1,Electric Utility,56.02,6717715,3284815,dollars per short ton,short tons,short tons
2005-Q3,GA,1,Electric Utility,47.91,11243471.26,2948228,dollars per short ton,short tons,short tons
2005-Q3,IA,1,Electric Utility,17.49,5838502.19,2958660,dollars per short ton,short tons,short tons
2005-Q3,IL,1,Electric Utility,21.58,1616659.43,636578,dollars per short ton,short tons,short tons
2005-Q3,IN,1,Electric Utility,30.33,15201460.12,5085991,dollars per short ton,short tons,short tons
2005-Q3,KS,1,Electric Utility,19.23,6024643.56,1301233,dollars per short ton,short tons,short tons
2005-Q3,KY,1,Electric Utility,36.28,9964477.21,3713717,dollars per short ton,short tons,short tons
2005-Q3,LA,1,Electric Utility,25.75,2184156,900938,dollars per short ton,short tons,short tons
2005-Q3,MA,1,Electric Utility,71.33,124448.89,146863,dollars per short ton,short tons,short tons
2005-Q3,MI,1,Electric Utility,31.54,9791669.23,6822472,dollars per short ton,short tons,short tons
2005-Q3,MN,1,Electric Utility,19.66,4998835.27,1771624,dollars per short ton,short tons,short tons
2005-Q3,MO,1,Electric Utility,18.19,12007645.19,4645283,dollars per short ton,short tons,short tons
2005-Q3,MS,1,Electric Utility,51.17,1603810.85,640525,dollars per short ton,short tons,short tons
2005-Q3,MT,1,Electric Utility,12,75536.14,22352,dollars per short ton,short tons,short tons
2005-Q3,NC,1,Electric Utility,59.92,8794297,3365588,dollars per short ton,short tons,short tons
2005-Q3,ND,1,Electric Utility,10.89,6675423.58,1614756,dollars per short ton,short tons,short tons
2005-Q3,NE,1,Electric Utility,12.05,3486249.81,2085492,dollars per short ton,short tons,short tons
2005-Q3,NH,1,Electric Utility,64.22,476167,305214,dollars per short ton,short tons,short tons
2005-Q3,NJ,1,Electric Utility,74.66,209079.71,96472,dollars per short ton,short tons,short tons
2005-Q3,NM,1,Electric Utility,28.32,4459336.69,813658,dollars per short ton,short tons,short tons
2005-Q3,NV,1,Electric Utility,34.76,2237705,675882,dollars per short ton,short tons,short tons
2005-Q3,NY,1,Electric Utility,52.81,190630.4,106803,dollars per short ton,short tons,short tons
2005-Q3,OH,1,Electric Utility,37.03,11586309.22,4423361,dollars per short ton,short tons,short tons
2005-Q3,OK,1,Electric Utility,17.85,5746889,1538417,dollars per short ton,short tons,short tons
2005-Q3,OR,1,Electric Utility,21.28,717799,381707,dollars per short ton,short tons,short tons
2005-Q3,PA,1,Electric Utility,39.31,,,dollars per short ton,short tons,short tons
2005-Q3,SC,1,Electric Utility,54.6,4321085.64,1668571,dollars per short ton,short tons,short tons
2005-Q3,SD,1,Electric Utility,24.66,509661.03,180812,dollars per short ton,short tons,short tons
2005-Q3,TN,1,Electric Utility,37.5,7093305,1486118,dollars per short ton,short tons,short tons
2005-Q3,TX,1,Electric Utility,20.96,10918027,3170666,dollars per short ton,short tons,short tons
2005-Q3,UT,1,Electric Utility,26.05,4315615.86,2489825,dollars per short ton,short tons,short tons
2005-Q3,VA,1,Electric Utility,57.18,3359980,1148238,dollars per short ton,short tons,short tons
2005-Q3,WI,1,Electric Utility,23.62,6552499.9,3395632,dollars per short ton,short tons,short tons
2005-Q3,WV,1,Electric Utility,37.61,7160412.47,2303494,dollars per short ton,short tons,short tons
2005-Q3,WY,1,Electric Utility,16.54,6821225.71,1461270,dollars per short ton,short tons,short tons
2005-Q3,AK,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,AL,10,Other Industrial,61.21,454697,140580,dollars per short ton,short tons,short tons
2005-Q3,AR,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,AZ,10,Other Industrial,50.15,183351,45962,dollars per short ton,short tons,short tons
2005-Q3,CA,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,CO,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,CT,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,DE,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,FL,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,GA,10,Other Industrial,78.3,390313,178162,dollars per short ton,short tons,short tons
2005-Q3,HI,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,IA,10,Other Industrial,38.47,763556,492499,dollars per short ton,short tons,short tons
2005-Q3,ID,10,Other Industrial,39.88,53187,242388,dollars per short ton,short tons,short tons
2005-Q3,IL,10,Other Industrial,33.79,883894,178438,dollars per short ton,short tons,short tons
2005-Q3,IN,10,Other Industrial,53.29,1254705,385081,dollars per short ton,short tons,short tons
2005-Q3,KS,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,KY,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,LA,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,MA,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,MD,10,Other Industrial,54.72,369750,96583,dollars per short ton,short tons,short tons
2005-Q3,ME,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,MI,10,Other Industrial,67.22,393081,479231,dollars per short ton,short tons,short tons
2005-Q3,MN,10,Other Industrial,34.15,245996,240802,dollars per short ton,short tons,short tons
2005-Q3,MO,10,Other Industrial,39.68,256330,82491,dollars per short ton,short tons,short tons
2005-Q3,MS,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,MT,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,NC,10,Other Industrial,64.77,326497,143656,dollars per short ton,short tons,short tons
2005-Q3,ND,10,Other Industrial,10.72,1618188,169413,dollars per short ton,short tons,short tons
2005-Q3,NE,10,Other Industrial,26.1,92282,109588,dollars per short ton,short tons,short tons
2005-Q3,NJ,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,NM,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,NV,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,NY,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,OH,10,Other Industrial,59.22,437517,78213,dollars per short ton,short tons,short tons
2005-Q3,OK,10,Other Industrial,35.89,200411,86417,dollars per short ton,short tons,short tons
2005-Q3,PA,10,Other Industrial,50.66,726329,215503,dollars per short ton,short tons,short tons
2005-Q3,SC,10,Other Industrial,76.05,334330,189788,dollars per short ton,short tons,short tons
2005-Q3,SD,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,TN,10,Other Industrial,63.25,751237,204634,dollars per short ton,short tons,short tons
2005-Q3,TX,10,Other Industrial,26.94,1058160,167827,dollars per short ton,short tons,short tons
2005-Q3,UT,10,Other Industrial,43.04,321363,13288,dollars per short ton,short tons,short tons
2005-Q3,VA,10,Other Industrial,60.8,489956,167037,dollars per short ton,short tons,short tons
2005-Q3,WA,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q3,WI,10,Other Industrial,61.22,396782,287269,dollars per short ton,short tons,short tons
2005-Q3,WV,10,Other Industrial,64.75,278551,67039,dollars per short ton,short tons,short tons
2005-Q3,WY,10,Other Industrial,26.24,368515,75829,dollars per short ton,short tons,short tons
2005-Q3,CT,2,IPP Non-CHP,,416239,87678,dollars per short ton,short tons,short tons
2005-Q3,DE,2,IPP Non-CHP,,674060,381080,dollars per short ton,short tons,short tons
2005-Q3,IL,2,IPP Non-CHP,,13121930.08,6120884,dollars per short ton,short tons,short tons
2005-Q3,IN,2,IPP Non-CHP,,430634,106462,dollars per short ton,short tons,short tons
2005-Q3,KY,2,IPP Non-CHP,,1066855,991833,dollars per short ton,short tons,short tons
2005-Q3,LA,2,IPP Non-CHP,,2038866,646131,dollars per short ton,short tons,short tons
2005-Q3,MA,2,IPP Non-CHP,,1161354.85,319423,dollars per short ton,short tons,short tons
2005-Q3,MD,2,IPP Non-CHP,,3234434.65,820377,dollars per short ton,short tons,short tons
2005-Q3,MI,2,IPP Non-CHP,,20634.15,0,dollars per short ton,short tons,short tons
2005-Q3,MN,2,IPP Non-CHP,,204480,300589,dollars per short ton,short tons,short tons
2005-Q3,MS,2,IPP Non-CHP,,818154,0,dollars per short ton,short tons,short tons
2005-Q3,MT,2,IPP Non-CHP,,2928391.22,633389,dollars per short ton,short tons,short tons
2005-Q3,NJ,2,IPP Non-CHP,,788763,463854,dollars per short ton,short tons,short tons
2005-Q3,NY,2,IPP Non-CHP,,2279700.77,633121,dollars per short ton,short tons,short tons
2005-Q3,OH,2,IPP Non-CHP,,4490746,1511314,dollars per short ton,short tons,short tons
2005-Q3,PA,2,IPP Non-CHP,,13501841.3,4072705,dollars per short ton,short tons,short tons
2005-Q3,TX,2,IPP Non-CHP,,16262346,2766385,dollars per short ton,short tons,short tons
2005-Q3,UT,2,IPP Non-CHP,,128742.48,,dollars per short ton,short tons,short tons
2005-Q3,VA,2,IPP Non-CHP,,190783,49543,dollars per short ton,short tons,short tons
2005-Q3,WA,2,IPP Non-CHP,,1888107,392544,dollars per short ton,short tons,short tons
2005-Q3,WI,2,IPP Non-CHP,,10372.71,44457,dollars per short ton,short tons,short tons
2005-Q3,WV,2,IPP Non-CHP,,3399376,962754,dollars per short ton,short tons,short tons
2005-Q3,AK,3,IPP CHP,,50641.1,0,dollars per short ton,short tons,short tons
2005-Q3,AL,3,IPP CHP,,28047,0,dollars per short ton,short tons,short tons
2005-Q3,CA,3,IPP CHP,,226913,168676,dollars per short ton,short tons,short tons
2005-Q3,CO,3,IPP CHP,,86896.3,1781,dollars per short ton,short tons,short tons
2005-Q3,CT,3,IPP CHP,,120172,28047,dollars per short ton,short tons,short tons
2005-Q3,DE,3,IPP CHP,,15395.6,3280,dollars per short ton,short tons,short tons
2005-Q3,FL,3,IPP CHP,,626028.45,139519,dollars per short ton,short tons,short tons
2005-Q3,HI,3,IPP CHP,,185827.47,102657,dollars per short ton,short tons,short tons
2005-Q3,IL,3,IPP CHP,,50329.85,28354,dollars per short ton,short tons,short tons
2005-Q3,IN,3,IPP CHP,,600668.06,193664,dollars per short ton,short tons,short tons
2005-Q3,MD,3,IPP CHP,,192965,99542,dollars per short ton,short tons,short tons
2005-Q3,ME,3,IPP CHP,,35214,36167,dollars per short ton,short tons,short tons
2005-Q3,MI,3,IPP CHP,,56226,43303,dollars per short ton,short tons,short tons
2005-Q3,MN,3,IPP CHP,,9585,5016,dollars per short ton,short tons,short tons
2005-Q3,NC,3,IPP CHP,,407779.54,73723,dollars per short ton,short tons,short tons
2005-Q3,NJ,3,IPP CHP,,406557,109880,dollars per short ton,short tons,short tons
2005-Q3,NY,3,IPP CHP,,142007.29,119694,dollars per short ton,short tons,short tons
2005-Q3,OK,3,IPP CHP,,360609,175748,dollars per short ton,short tons,short tons
2005-Q3,PA,3,IPP CHP,,1547037.48,37023,dollars per short ton,short tons,short tons
2005-Q3,VA,3,IPP CHP,,614933.51,137787,dollars per short ton,short tons,short tons
2005-Q3,WV,3,IPP CHP,,110541.83,1738,dollars per short ton,short tons,short tons
2005-Q3,AK,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2005-Q3,AL,8,Commercial and Institutional,,451,,dollars per short ton,short tons,short tons
2005-Q3,AZ,8,Commercial and Institutional,,338,,dollars per short ton,short tons,short tons
2005-Q3,CA,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2005-Q3,CO,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2005-Q3,CT,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2005-Q3,DE,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2005-Q3,FL,8,Commercial and Institutional,,80,,dollars per short ton,short tons,short tons
2005-Q3,GA,8,Commercial and Institutional,,12226,,dollars per short ton,short tons,short tons
2005-Q3,IA,8,Commercial and Institutional,,68560,,dollars per short ton,short tons,short tons
2005-Q3,ID,8,Commercial and Institutional,,3128,,dollars per short ton,short tons,short tons
2005-Q3,IL,8,Commercial and Institutional,,36475,,dollars per short ton,short tons,short tons
2005-Q3,IN,8,Commercial and Institutional,,64145,,dollars per short ton,short tons,short tons
2005-Q3,KY,8,Commercial and Institutional,,72260,,dollars per short ton,short tons,short tons
2005-Q3,MA,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2005-Q3,MD,8,Commercial and Institutional,,7888,,dollars per short ton,short tons,short tons
2005-Q3,ME,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2005-Q3,MI,8,Commercial and Institutional,,38257,,dollars per short ton,short tons,short tons
2005-Q3,MN,8,Commercial and Institutional,,18097,,dollars per short ton,short tons,short tons
2005-Q3,MO,8,Commercial and Institutional,,53693,,dollars per short ton,short tons,short tons
2005-Q3,MT,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2005-Q3,NC,8,Commercial and Institutional,,37269,,dollars per short ton,short tons,short tons
2005-Q3,ND,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2005-Q3,NE,8,Commercial and Institutional,,899,,dollars per short ton,short tons,short tons
2005-Q3,NH,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2005-Q3,NJ,8,Commercial and Institutional,,709,,dollars per short ton,short tons,short tons
2005-Q3,NM,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2005-Q3,NV,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2005-Q3,NY,8,Commercial and Institutional,,39975,,dollars per short ton,short tons,short tons
2005-Q3,OH,8,Commercial and Institutional,,83309,,dollars per short ton,short tons,short tons
2005-Q3,OK,8,Commercial and Institutional,,217,,dollars per short ton,short tons,short tons
2005-Q3,OR,8,Commercial and Institutional,,6,,dollars per short ton,short tons,short tons
2005-Q3,PA,8,Commercial and Institutional,,155689,,dollars per short ton,short tons,short tons
2005-Q3,RI,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2005-Q3,SD,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2005-Q3,TN,8,Commercial and Institutional,,8118,,dollars per short ton,short tons,short tons
2005-Q3,TX,8,Commercial and Institutional,,3003,,dollars per short ton,short tons,short tons
2005-Q3,UT,8,Commercial and Institutional,,11206,,dollars per short ton,short tons,short tons
2005-Q3,VA,8,Commercial and Institutional,,30185,,dollars per short ton,short tons,short tons
2005-Q3,VT,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2005-Q3,WA,8,Commercial and Institutional,,,,dollars per short ton,short tons,short tons
2005-Q3,WI,8,Commercial and Institutional,,104341,,dollars per short ton,short tons,short tons
2005-Q3,WV,8,Commercial and Institutional,,20063,,dollars per short ton,short tons,short tons
2005-Q3,WY,8,Commercial and Institutional,,17291,,dollars per short ton,short tons,short tons
2005-Q3,AL,9,Coke Plants,,,,dollars per short ton,short tons,short tons
2005-Q3,IL,9,Coke Plants,,,,dollars per short ton,short tons,short tons
2005-Q3,IN,9,Coke Plants,94.99,1716277,723640,dollars per short ton,short tons,short tons
2005-Q3,KY,9,Coke Plants,,,,dollars per short ton,short tons,short tons
2005-Q3,MI,9,Coke Plants,,,,dollars per short ton,short tons,short tons
2005-Q3,NY,9,Coke Plants,,,,dollars per short ton,short tons,short tons
2005-Q3,OH,9,Coke Plants,,,,dollars per short ton,short tons,short tons
2005-Q3,PA,9,Coke Plants,,,,dollars per short ton,short tons,short tons
2005-Q3,VA,9,Coke Plants,,,,dollars per short ton,short tons,short tons
2005-Q3,WV,9,Coke Plants,,,,dollars per short ton,short tons,short tons
2005-Q3,AK,94,Independent Power Producers,,50641.1,0,dollars per short ton,short tons,short tons
2005-Q3,AL,94,Independent Power Producers,,28047,0,dollars per short ton,short tons,short tons
2005-Q3,CA,94,Independent Power Producers,,226913,168676,dollars per short ton,short tons,short tons
2005-Q3,CO,94,Independent Power Producers,,86896.3,1781,dollars per short ton,short tons,short tons
2005-Q3,CT,94,Independent Power Producers,,536411,115725,dollars per short ton,short tons,short tons
2005-Q3,DE,94,Independent Power Producers,,689455.6,384360,dollars per short ton,short tons,short tons
2005-Q3,FL,94,Independent Power Producers,65.43,626028.45,139519,dollars per short ton,short tons,short tons
2005-Q3,HI,94,Independent Power Producers,,185827.47,102657,dollars per short ton,short tons,short tons
2005-Q3,IL,94,Independent Power Producers,20.99,13172259.93,6149238,dollars per short ton,short tons,short tons
2005-Q3,IN,94,Independent Power Producers,,1031302.06,300126,dollars per short ton,short tons,short tons
2005-Q3,KY,94,Independent Power Producers,,1066855,991833,dollars per short ton,short tons,short tons
2005-Q3,LA,94,Independent Power Producers,,2038866,646131,dollars per short ton,short tons,short tons
2005-Q3,MA,94,Independent Power Producers,,1161354.85,319423,dollars per short ton,short tons,short tons
2005-Q3,MD,94,Independent Power Producers,49.1,3427399.65,919919,dollars per short ton,short tons,short tons
2005-Q3,ME,94,Independent Power Producers,,35214,36167,dollars per short ton,short tons,short tons
2005-Q3,MI,94,Independent Power Producers,,76860.15,43303,dollars per short ton,short tons,short tons
2005-Q3,MN,94,Independent Power Producers,,214065,305605,dollars per short ton,short tons,short tons
2005-Q3,MS,94,Independent Power Producers,,818154,0,dollars per short ton,short tons,short tons
2005-Q3,MT,94,Independent Power Producers,,2928391.22,633389,dollars per short ton,short tons,short tons
2005-Q3,NC,94,Independent Power Producers,,407779.54,73723,dollars per short ton,short tons,short tons
2005-Q3,NJ,94,Independent Power Producers,54.62,1195320,573734,dollars per short ton,short tons,short tons
2005-Q3,NY,94,Independent Power Producers,51.4,2421708.06,752815,dollars per short ton,short tons,short tons
2005-Q3,OH,94,Independent Power Producers,,4490746,1511314,dollars per short ton,short tons,short tons
2005-Q3,OK,94,Independent Power Producers,,360609,175748,dollars per short ton,short tons,short tons
2005-Q3,PA,94,Independent Power Producers,36.32,15048878.78,4109728,dollars per short ton,short tons,short tons
2005-Q3,TX,94,Independent Power Producers,,16262346,2766385,dollars per short ton,short tons,short tons
2005-Q3,UT,94,Independent Power Producers,,128742.48,,dollars per short ton,short tons,short tons
2005-Q3,VA,94,Independent Power Producers,64.85,805716.51,187330,dollars per short ton,short tons,short tons
2005-Q3,WA,94,Independent Power Producers,,1888107,392544,dollars per short ton,short tons,short tons
2005-Q3,WI,94,Independent Power Producers,,10372.71,44457,dollars per short ton,short tons,short tons
2005-Q3,WV,94,Independent Power Producers,31.29,3509917.83,964492,dollars per short ton,short tons,short tons
2005-Q3,AK,98,Electric Power,,104347.1,0,dollars per short ton,short tons,short tons
2005-Q3,AL,98,Electric Power,,10114915.06,2645721,dollars per short ton,short tons,short tons
2005-Q3,AR,98,Electric Power,33.79,3652972,947724,dollars per short ton,short tons,short tons
2005-Q3,AZ,98,Electric Power,28.34,5495601,2529854,dollars per short ton,short tons,short tons
2005-Q3,CA,98,Electric Power,,226913,168676,dollars per short ton,short tons,short tons
2005-Q3,CO,98,Electric Power,21.28,4895901.69,1669339,dollars per short ton,short tons,short tons
2005-Q3,CT,98,Electric Power,,536411,115725,dollars per short ton,short tons,short tons
2005-Q3,DE,98,Electric Power,,689455.6,384360,dollars per short ton,short tons,short tons
2005-Q3,FL,98,Electric Power,56.65,7343743.45,3424334,dollars per short ton,short tons,short tons
2005-Q3,GA,98,Electric Power,47.91,11243471.26,2948228,dollars per short ton,short tons,short tons
2005-Q3,HI,98,Electric Power,,185827.47,102657,dollars per short ton,short tons,short tons
2005-Q3,IA,98,Electric Power,17.49,5838502.19,2958660,dollars per short ton,short tons,short tons
2005-Q3,IL,98,Electric Power,21.11,14788919.36,6785816,dollars per short ton,short tons,short tons
2005-Q3,IN,98,Electric Power,,16232762.18,5386117,dollars per short ton,short tons,short tons
2005-Q3,KS,98,Electric Power,19.23,6024643.56,1301233,dollars per short ton,short tons,short tons
2005-Q3,KY,98,Electric Power,,11031332.21,4705550,dollars per short ton,short tons,short tons
2005-Q3,LA,98,Electric Power,,4223022,1547069,dollars per short ton,short tons,short tons
2005-Q3,MA,98,Electric Power,,1285803.74,466286,dollars per short ton,short tons,short tons
2005-Q3,MD,98,Electric Power,49.1,3427399.65,919919,dollars per short ton,short tons,short tons
2005-Q3,ME,98,Electric Power,,35214,36167,dollars per short ton,short tons,short tons
2005-Q3,MI,98,Electric Power,,9868529.38,6865775,dollars per short ton,short tons,short tons
2005-Q3,MN,98,Electric Power,,5212900.27,2077229,dollars per short ton,short tons,short tons
2005-Q3,MO,98,Electric Power,18.19,12007645.19,4645283,dollars per short ton,short tons,short tons
2005-Q3,MS,98,Electric Power,,2421964.85,640525,dollars per short ton,short tons,short tons
2005-Q3,MT,98,Electric Power,,3003927.36,655741,dollars per short ton,short tons,short tons
2005-Q3,NC,98,Electric Power,,9202076.54,3439311,dollars per short ton,short tons,short tons
2005-Q3,ND,98,Electric Power,10.89,6675423.58,1614756,dollars per short ton,short tons,short tons
2005-Q3,NE,98,Electric Power,12.05,3486249.81,2085492,dollars per short ton,short tons,short tons
2005-Q3,NH,98,Electric Power,64.22,476167,305214,dollars per short ton,short tons,short tons
2005-Q3,NJ,98,Electric Power,58.1,1404399.71,670206,dollars per short ton,short tons,short tons
2005-Q3,NM,98,Electric Power,28.32,4459336.69,813658,dollars per short ton,short tons,short tons
2005-Q3,NV,98,Electric Power,34.76,2237705,675882,dollars per short ton,short tons,short tons
2005-Q3,NY,98,Electric Power,51.52,2612338.46,859618,dollars per short ton,short tons,short tons
2005-Q3,OH,98,Electric Power,,16077055.22,5934675,dollars per short ton,short tons,short tons
2005-Q3,OK,98,Electric Power,,6107498,1714165,dollars per short ton,short tons,short tons
2005-Q3,OR,98,Electric Power,21.28,717799,381707,dollars per short ton,short tons,short tons
2005-Q3,PA,98,Electric Power,36.37,15048878.78,4109728,dollars per short ton,short tons,short tons
2005-Q3,SC,98,Electric Power,54.6,4321085.64,1668571,dollars per short ton,short tons,short tons
2005-Q3,SD,98,Electric Power,24.66,509661.03,180812,dollars per short ton,short tons,short tons
2005-Q3,TN,98,Electric Power,37.5,7093305,1486118,dollars per short ton,short tons,short tons
2005-Q3,TX,98,Electric Power,,27180373,5937051,dollars per short ton,short tons,short tons
2005-Q3,UT,98,Electric Power,,4444358.34,2489825,dollars per short ton,short tons,short tons
2005-Q3,VA,98,Electric Power,58.72,4165696.51,1335568,dollars per short ton,short tons,short tons
2005-Q3,WA,98,Electric Power,,1888107,392544,dollars per short ton,short tons,short tons
2005-Q3,WI,98,Electric Power,,6562872.61,3440089,dollars per short ton,short tons,short tons
2005-Q3,WV,98,Electric Power,35.93,10670330.3,3267986,dollars per short ton,short tons,short tons
2005-Q3,WY,98,Electric Power,16.54,6821225.71,1461270,dollars per short ton,short tons,short tons
2005-Q4,AK,1,Electric Utility,,55857,0,dollars per short ton,short tons,short tons
2005-Q4,AL,1,Electric Utility,41.97,9317413.88,2496560,dollars per short ton,short tons,short tons
2005-Q4,AR,1,Electric Utility,23.93,3394587,1105492,dollars per short ton,short tons,short tons
2005-Q4,AZ,1,Electric Utility,27.76,5347235,2367838,dollars per short ton,short tons,short tons
2005-Q4,CO,1,Electric Utility,22.05,4494255.31,1946522,dollars per short ton,short tons,short tons
2005-Q4,FL,1,Electric Utility,58.07,6349042,2736780,dollars per short ton,short tons,short tons
2005-Q4,GA,1,Electric Utility,49.91,9388891.92,3030422,dollars per short ton,short tons,short tons
2005-Q4,IA,1,Electric Utility,16.29,5170031.33,2899662,dollars per short ton,short tons,short tons
2005-Q4,IL,1,Electric Utility,21.58,1461939.48,748922,dollars per short ton,short tons,short tons
2005-Q4,IN,1,Electric Utility,31.63,13734580.22,5189029,dollars per short ton,short tons,short tons
2005-Q4,KS,1,Electric Utility,19.56,5272279.48,1262974,dollars per short ton,short tons,short tons
2005-Q4,KY,1,Electric Utility,36.6,8960797.03,4426958,dollars per short ton,short tons,short tons
2005-Q4,LA,1,Electric Utility,24.88,2069904,876192,dollars per short ton,short tons,short tons
2005-Q4,MA,1,Electric Utility,78.27,113566.03,146863,dollars per short ton,short tons,short tons
2005-Q4,MI,1,Electric Utility,31.39,8909996.86,6643120,dollars per short ton,short tons,short tons
2005-Q4,MN,1,Electric Utility,20.09,4258225.8,1837953,dollars per short ton,short tons,short tons
2005-Q4,MO,1,Electric Utility,18.59,11492370.68,4539126,dollars per short ton,short tons,short tons
2005-Q4,MS,1,Electric Utility,51.91,1202126.04,848234,dollars per short ton,short tons,short tons
2005-Q4,MT,1,Electric Utility,11.19,68930.63,22352,dollars per short ton,short tons,short tons
2005-Q4,NC,1,Electric Utility,61.08,7165889,3644279,dollars per short ton,short tons,short tons
2005-Q4,ND,1,Electric Utility,10.9,6739823.37,1474532,dollars per short ton,short tons,short tons
2005-Q4,NE,1,Electric Utility,12.54,3448643.03,2317512,dollars per short ton,short tons,short tons
2005-Q4,NH,1,Electric Utility,65.35,439884,251302,dollars per short ton,short tons,short tons
2005-Q4,NJ,1,Electric Utility,66.99,168726.25,97470,dollars per short ton,short tons,short tons
2005-Q4,NM,1,Electric Utility,24.14,4354002.3,808946,dollars per short ton,short tons,short tons
2005-Q4,NV,1,Electric Utility,40.45,2303244,569942,dollars per short ton,short tons,short tons
2005-Q4,NY,1,Electric Utility,53.31,126457.18,130874,dollars per short ton,short tons,short tons
2005-Q4,OH,1,Electric Utility,37.38,10745673.62,4709399,dollars per short ton,short tons,short tons
2005-Q4,OK,1,Electric Utility,17.72,4769383,1853551,dollars per short ton,short tons,short tons
2005-Q4,OR,1,Electric Utility,21.52,182119,586778,dollars per short ton,short tons,short tons
2005-Q4,PA,1,Electric Utility,39.29,,,dollars per short ton,short tons,short tons
2005-Q4,SC,1,Electric Utility,54.43,3947770.98,1870182,dollars per short ton,short tons,short tons
2005-Q4,SD,1,Electric Utility,26.2,518021.86,163606,dollars per short ton,short tons,short tons
2005-Q4,TN,1,Electric Utility,34.16,6414964,1901439,dollars per short ton,short tons,short tons
2005-Q4,TX,1,Electric Utility,22.84,9475607,2981893,dollars per short ton,short tons,short tons
2005-Q4,UT,1,Electric Utility,24.3,4272336.7,2763941,dollars per short ton,short tons,short tons
2005-Q4,VA,1,Electric Utility,59.57,2940902,1106105,dollars per short ton,short tons,short tons
2005-Q4,WI,1,Electric Utility,24.41,6147514.71,3221581,dollars per short ton,short tons,short tons
2005-Q4,WV,1,Electric Utility,39.27,6180522.77,2375995,dollars per short ton,short tons,short tons
2005-Q4,WY,1,Electric Utility,16.21,6979473.13,1502190,dollars per short ton,short tons,short tons
2005-Q4,AK,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2005-Q4,AL,10,Other Industrial,68.15,473507,138633,dollars per short ton,short tons,short tons
2005-Q4,AR,10,Other Industrial,,,,dollars per short ton,short tons,short tons
