period,location,sector,sectorDescription,price,consumption,stocks,price-units,consumption-units,stocks-units
2001-Q2,MT,1,Electric Utility,12.88,75169,6876,dollars per short ton,short tons,short tons
2001-Q2,NC,1,Electric Utility,38.86,6545330,4032633,dollars per short ton,short tons,short tons
2001-Q2,ND,1,Electric Utility,10.07,5576389,1423893,dollars per short ton,short tons,short tons
2001-Q2,NE,1,Electric Utility,9.86,2862194,2164164,dollars per short ton,short tons,short tons
2001-Q2,NH,1,Electric Utility,42.34,278890,351761,dollars per short ton,short tons,short tons
2001-Q2,NJ,1,Electric Utility,48.85,153704,189367,dollars per short ton,short tons,short tons
2001-Q2,NM,1,Electric Utility,25.54,3809195,826700,dollars per short ton,short tons,short tons
2001-Q2,NV,1,Electric Utility,32.09,1846270,1190606,dollars per short ton,short tons,short tons
2001-Q2,NY,1,Electric Utility,34.71,161264,111967,dollars per short ton,short tons,short tons
2001-Q2,OH,1,Electric Utility,32.54,12497871,5300827,dollars per short ton,short tons,short tons
2001-Q2,OK,1,Electric Utility,16.11,4634309,4006234,dollars per short ton,short tons,short tons
2001-Q2,OR,1,Electric Utility,17.67,513406,382281,dollars per short ton,short tons,short tons
2001-Q2,PA,1,Electric Utility,27.62,1229449,1079430,dollars per short ton,short tons,short tons
2001-Q2,SC,1,Electric Utility,38.54,3544853,1850119,dollars per short ton,short tons,short tons
2001-Q2,SD,1,Electric Utility,17.38,540435,215862,dollars per short ton,short tons,short tons
2001-Q2,TN,1,Electric Utility,27.97,6278998,2268918,dollars per short ton,short tons,short tons
2001-Q2,TX,1,Electric Utility,20.04,22952510,9966851,dollars per short ton,short tons,short tons
2001-Q2,UT,1,Electric Utility,24.28,3428798,4077477,dollars per short ton,short tons,short tons
2001-Q2,VA,1,Electric Utility,40.34,2860543,1461105,dollars per short ton,short tons,short tons
2001-Q2,WI,1,Electric Utility,19.21,5754752,3553999,dollars per short ton,short tons,short tons
2001-Q2,WV,1,Electric Utility,30.62,5503373,2208074,dollars per short ton,short tons,short tons
2001-Q2,WY,1,Electric Utility,13.7,6046131,1344600,dollars per short ton,short tons,short tons
2001-Q2,AK,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2001-Q2,AL,10,Other Industrial,40.17,580131,148390,dollars per short ton,short tons,short tons
2001-Q2,AR,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2001-Q2,AZ,10,Other Industrial,41.18,175482,49061,dollars per short ton,short tons,short tons
2001-Q2,CA,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2001-Q2,CO,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2001-Q2,DE,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2001-Q2,FL,10,Other Industrial,46.12,314665,118844,dollars per short ton,short tons,short tons
2001-Q2,GA,10,Other Industrial,49.6,507661,114650,dollars per short ton,short tons,short tons
2001-Q2,HI,10,Other Industrial,,,,dollars per short ton,short tons,short tons
2001-Q2,IA,10,Other Industrial,29.9,671550,292147,dollars per short ton,short tons,short tons
2001-Q2,ID,10,Other Industrial,37.36,50458,155586,dollars per short ton,short tons,short tons
